Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Shane Lieberman,Calls - Ryan Minter,Salesforce ID
001Hr000028ZdmJ,"Washington County, UT",Utah,County,Catherine Silvestri,207943,,Tier S,2.0,37.3225,-113.4776,fe27c87b-0657-4b58-b5e6-c5669a693be6,,,,,,,,,3,2025-12-11,,1,2,,,,
001Hr000028Zdtj,"Weber County, UT",Utah,County,Catherine Silvestri,276190,Open Opportunity,Tier S,2.0,41.2603,-111.9522,75e309fc-7884-4d5a-89f2-85e8922c2b4d,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,16,2026-05-26,15,1,,,,,
001Hr000028Zdvy,"Town Of Cedar Hills, UT",Utah,Municipality,Catherine Silvestri,10024,,Tier 2,1.0,40.4141,-111.7585,670195d1-4f6d-4487-9cae-67e2a58ef434,,,,,,,,,14,2026-04-03,12,,2,,,,
001cv00000AuWZT,"City Of Helper, UT",Utah,Municipality,Catherine Silvestri,2093,,Tier 3,0.75,39.6841,-110.8546,adb741ab-a3a6-49d6-8a4b-2d88c70ab8a5,,,,,,,,,,,,,,,,,
001cv00000AuWau,"City Of Willard, UT",Utah,Municipality,Catherine Silvestri,2119,,Tier 3,0.75,41.4128,-112.0409,3df2b26a-fb2d-4d8f-94ff-dea84c93aebf,,,,,,,,,,,,,,,,,
001cv00000AuWcX,"City Of Enterprise, UT",Utah,Municipality,Catherine Silvestri,2150,,Tier 3,0.75,37.5736,-113.7191,4ace4936-256f-45ba-9d96-3af51e0d2d9b,,,,,,,,,,,,,,,,,
001cv00000AuWdA,"City Of River Heights, UT",Utah,Municipality,Catherine Silvestri,2161,,Tier 3,0.75,41.7216,-111.8213,e79ebec0-4db8-4454-a14d-011d3d496a4e,,,,,,,,,,,,,,,,,
001cv00000AuWpK,"City Of Kamas, UT",Utah,Municipality,Catherine Silvestri,2179,,Tier 3,0.75,40.643,-111.2807,801948ae-8b83-480f-bc15-4938394eb5f4,,,,,,,,,1,2025-08-21,,,1,,,,
001cv00000AuX9b,"City Of Naples, UT",Utah,Municipality,Catherine Silvestri,2334,,Tier 3,0.75,40.4269,-109.4993,734758ef-5916-4eef-986f-50e1cd99334f,,,,,,,,,2,2026-01-22,2,,,,,,
001cv00000AuXPW,"City Of Salina, UT",Utah,Municipality,Catherine Silvestri,2514,,Tier 3,0.75,38.9577,-111.8599,8b8cb1a9-0a24-43ee-b8f7-a7109368bd99,,,,,,,,,,,,,,,,,
001cv00000AuXUU,"County Of Wayne, UT",Utah,County,Catherine Silvestri,2558,,Tier 3,0.75,38.3337,-110.8076,b812041b-944d-4446-a4f3-7b09589e4974,,,,,,,,,15,2026-03-02,15,,,,,,
001cv00000AuXUv,"City Of Monroe, UT",Utah,Municipality,Catherine Silvestri,2569,,Tier 3,0.75,38.63,-112.1208,fceeb055-282b-4c9a-9b0f-a277c822fb93,,,,,,,,,,,,,,,,,
001cv00000AuXVz,"County Of Rich, UT",Utah,County,Catherine Silvestri,2597,,Tier 3,0.75,41.563,-111.1891,762aa05c-fbb4-4241-9f6f-23f85ef846ad,,,,,,,,,,,,,,,,,
001cv00000AuXo0,"City Of Richmond, UT",Utah,Municipality,Catherine Silvestri,2967,,Tier 3,0.75,41.9227,-111.8136,314656f0-419b-4652-9730-993280d3e35a,,,,,,,,,1,2026-01-27,1,,,,,,
001cv00000AuYCW,"City Of Parowan, UT",Utah,Municipality,Catherine Silvestri,3132,,Tier 3,0.75,37.8422,-112.828,e71bb877-cf74-45fc-bc49-cab17606505f,,,,,,,,,1,2026-05-06,1,,,,,,
001cv00000AuYIK,"City Of Blanding, UT",Utah,Municipality,Catherine Silvestri,3319,Nurture,Tier 3,0.75,37.6242,-109.4782,1d79c627-3848-4ae0-a353-e12f54c1bc1a,Closed Lost,,,Catherine Silvestri,2/4/2026,1/27/2026,,,8,2026-01-27,8,,,,,,
001cv00000AuYLF,"City Of Gunnison, UT",Utah,Municipality,Catherine Silvestri,3426,Nurture,Tier 3,0.75,39.1552,-111.8183,bcfd649a-f9cd-4988-8bf0-e1a4dbf6cdce,Closed Lost,,,Catherine Silvestri,5/14/2026,5/4/2026,,,3,2026-05-14,2,1,,,,,
001cv00000AuYMr,"City Of Beaver, UT",Utah,Municipality,Catherine Silvestri,3498,,Tier 3,0.75,38.2769,-112.6411,258bb483-d70c-48f0-a07a-c5f5639995d7,,,,,,,,,,,,,,,,,
001cv00000AuYRA,"City Of Manti, UT",Utah,Municipality,Catherine Silvestri,3539,Nurture,Tier 3,0.75,39.2683,-111.6369,9b606b75-d0f8-4371-9dd5-e08a2ca018ab,Closed Lost,,,Catherine Silvestri,1/26/2026,1/22/2026,"$13,000",,1,2026-01-22,1,,,,,,
001cv00000AuYo7,"City Of Wellsville, UT",Utah,Municipality,Catherine Silvestri,4113,Nurture,Tier 3,0.75,41.6385,-111.9338,b5b7ed34-81d0-4bfb-a23a-ab244189a171,Closed Lost,,,Catherine Silvestri,2/2/2026,1/27/2026,,,4,2026-02-02,4,,,,,,
001cv00000AuYpz,"City Of Morgan, UT",Utah,Municipality,Catherine Silvestri,4223,,Tier 3,0.75,41.0361,-111.6769,6a244a2e-7db3-4e34-ad7d-a144e74dee0c,,,,,,,,,5,2026-02-02,5,,,,,,
001cv00000AuYqz,"City Of Delta, UT",Utah,Municipality,Catherine Silvestri,3678,Implementation,Tier 3,0.75,39.3522,-112.5772,90bca9b7-6abd-4eed-bb06-f4ececc82cde,Closed Won,,,Catherine Silvestri,2/17/2026,2/2/2026,"$12,000",,9,2026-04-16,5,4,,,,,
001cv00000AuYsb,"City Of Mount Pleasant, UT",Utah,Municipality,Catherine Silvestri,3754,,Tier 3,0.75,39.5469,-111.4555,dd9a1b5b-a772-46cf-b714-40b4aff4b6e7,,,,,,,,,9,2026-01-27,9,,,,,,
001cv00000AuYyh,"City Of La Verkin, UT",Utah,Municipality,Catherine Silvestri,4469,,Tier 3,0.75,37.2051,-113.2722,27e3231d-ed98-4e11-a725-d4f2bcea941d,,,,,,,,,6,2026-01-27,6,,,,,,
001cv00000AuZ84,"City Of Hyde Park, UT",Utah,Municipality,Catherine Silvestri,5420,Nurture,Tier 3,0.75,41.7991,-111.8193,ef1ddc24-95c1-44a2-8814-1caa178a223c,Closed Lost,,,Catherine Silvestri,1/27/2026,1/27/2026,,,9,2026-03-05,8,1,,,,,
001cv00000AuZ8V,"Metro Township Of White City, UT",Utah,Municipality,Catherine Silvestri,5526,,Tier 3,0.75,40.5658,-111.8644,5eefa4cf-5172-4906-ac5d-8e8832b1da9b,,,,,,,,,5,2026-01-29,5,,,,,,
001cv00000AuZMz,"Town Of Elk Ridge, UT",Utah,Municipality,Catherine Silvestri,4874,,Tier 3,0.75,40.0113,-111.6769,2df9bf28-e41a-49cc-8bfa-e614d62ffd51,,,,,,,,,,,,,,,,,
001cv00000AuZSC,"City Of Kanab, UT",Utah,Municipality,Catherine Silvestri,4998,,Tier 3,0.75,37.0475,-112.5263,df68fb97-b7d7-4f14-941b-476bc7f6d4d7,,,,,,,,,6,2026-02-17,6,,,,,,
001cv00000AuZkU,"County Of Emery, UT",Utah,County,Catherine Silvestri,9967,,Tier 3,0.75,38.923,-111.2488,ce43bc9c-bc9f-46b1-9bb4-bce463d3f00c,,,,,,,,,5,2026-02-18,5,,,,,,
001cv00000Aua0z,"Metro Township Of Magna, UT",Utah,Municipality,Catherine Silvestri,29268,,Tier 1,1.5,40.7091,-112.1016,0dcd3468-fe29-4628-8406-d50df8308d17,,,,,,,,,,,,,,,,,
001cv00000AuaGd,"County Of Summit, UT",Utah,County,Catherine Silvestri,43093,,Tier 1,1.5,40.8298,-110.9984,259c9e9d-49d2-49b1-a429-85c2fb1bda0d,,,,,,,,,10,2026-02-24,8,,2,,,,
001cv00000AuaTG,"County Of Iron, UT",Utah,County,Catherine Silvestri,60519,,Tier S,2.0,37.7855,-113.1918,223cb3a0-10e6-49c8-8e7b-324be9e92837,,,,,,,,,3,2025-12-01,,3,,,,,
001cv00000B21qv,"City Of Millville, UT",Utah,Municipality,Catherine Silvestri,2416,,Tier 3,0.75,41.6816,-111.823,749fc204-a380-4e2d-80b7-48b7cb74d0ce,,,,,,,,,,,,,,,,,
001cv00000B21wH,"City Of Garland, UT",Utah,Municipality,Catherine Silvestri,2615,,Tier 3,0.75,41.741,-112.1616,a86fe93e-1816-43b0-925b-9933704b84bd,,,,,,,,,,,,,,,,,
001cv00000B21wi,"City Of Fillmore, UT",Utah,Municipality,Catherine Silvestri,2624,,Tier 3,0.75,38.9639,-112.3397,ab11b2ac-5b52-4115-8b25-68ca6058aeaa,,,,,,,,,4,2026-05-04,4,,,,,,
001cv00000B21x0,"City Of Erda, UT",Utah,Municipality,Catherine Silvestri,2635,,Tier 3,0.75,40.6127,-112.3044,b69ab28e-70c9-40ea-9a96-812ae5bdcd80,,,,,,,,,1,2026-05-05,1,,,,,,
001cv00000X1MOW,"Greater Salt Lake Municipal Services District, UT",Utah,Municipality,Catherine Silvestri,90000,Open Opportunity,Tier S,2.0,40.6754,-111.9152,,Open,Initial Interest,Top of Funnel,,,2/13/2026,,Yes,3,2026-01-07,,2,,1,,,
001cv00000bBVeL,Town of Virgin,Utah,Municipality,Asher Rosenfeld,708,,Tier 3,0.75,37.2083,-113.1883,1abc9613-7476-4fdc-a285-1686325920b3,,,,,,,,,,,,,,,,,
001cv00000bBVeh,Town of Garden City,Utah,Municipality,Asher Rosenfeld,732,,Tier 3,0.75,41.9469,-111.3935,eaa25c09-62b3-4bb0-b729-9aad964c9817,,,,,,,,,,,,,,,,,
001cv00000bBVf7,Town of Clarkston,Utah,Municipality,Asher Rosenfeld,764,,Tier 3,0.75,41.9202,-112.05,03756bc5-0c2b-4066-98ec-53f26a6be4bb,,,,,,,,,,,,,,,,,
001cv00000bBVhl,Town of Newton,Utah,Municipality,Asher Rosenfeld,845,,Tier 3,0.75,41.8627,-111.9908,4d9f7d9d-cdf0-4aba-983d-750332669421,,,,,,,,,,,,,,,,,
001cv00000bBViE,City of Green River,Utah,Municipality,Asher Rosenfeld,887,,Tier 3,0.75,38.9956,-110.1596,48c8780c-7229-41ab-9be0-ffdaf5c262ab,,,,,,,,,,,,,,,,,
001cv00000bBVl8,Daggett County,Utah,County,Asher Rosenfeld,956,,Tier 3,0.75,40.9054,-109.5211,c1bbf434-52c1-45c0-bfe3-27ed85793f5b,,,,,,,,,,,,,,,,,
001cv00000bBVxZ,City of Hildale,Utah,Municipality,Asher Rosenfeld,1261,,Tier 3,0.75,37.0036,-112.9669,8805d0e4-8481-4e64-b60c-b87e763bf99b,,,,,,,,,,,,,,,,,
001cv00000bBVxf,City of Orangeville,Utah,Municipality,Asher Rosenfeld,1269,,Tier 3,0.75,39.2272,-111.0535,539d78c6-6674-4093-a0b1-199a3613e6d7,,,,,,,,,,,,,,,,,
001cv00000bBWBX,Piute County,Utah,County,Asher Rosenfeld,1534,,Tier 3,0.75,38.3997,-112.143,25a386a3-af1a-463d-9675-20e9d5bd071e,,,,,,,,,,,,,,,,,
001cv00000bBWBZ,City of Castle Dale,Utah,Municipality,Asher Rosenfeld,1537,,Tier 3,0.75,39.2122,-111.0196,26db23a1-a86c-4138-882a-f4734c4a73de,,,,,,,,,,,,,,,,,
001cv00000bBWBf,City of Coalville,Utah,Municipality,Asher Rosenfeld,1541,,Tier 3,0.75,40.9177,-111.3994,5f6c2d81-fdcc-4356-86bf-e840d43c816f,,,,,,,,,,,,,,,,,
001cv00000bBWFE,City of Provo,Utah,Municipality,Asher Rosenfeld,115479,,Tier S,2.0,40.2335,-111.667,ece64e6b-d101-44e7-aa78-89ae66403a6b,,,,,,,,,,,,,,,,,
001cv00000bBWFL,City of West Jordan,Utah,Municipality,Asher Rosenfeld,116688,,Tier S,2.0,40.6097,-111.9391,287399dc-4e60-4e58-84b1-7305835ce9b9,,,,,,,,,,,,,,,,,
001cv00000bBWIb,City of Monticello,Utah,Municipality,Asher Rosenfeld,1757,,Tier 3,0.75,37.8714,-109.3429,da40d05f-4a4e-4971-9656-b15c5ead78d2,,,,,,,,,,,,,,,,,
001cv00000bBWJ1,City of Honeyville,Utah,Municipality,Asher Rosenfeld,1783,,Tier 3,0.75,41.6385,-112.0794,6501709a-e9a7-4f6f-bf50-de09b1b5d778,,,,,,,,,,,,,,,,,
001cv00000bBWT8,City of West Valley City,Utah,Municipality,Asher Rosenfeld,138144,,Tier S,2.0,40.6916,-112.0011,e878c1bc-8373-4142-ac6f-3bcb01e66877,,,,,,,,,4,2026-05-06,4,,,,,,
001cv00000bBWYX,Utah County,Utah,County,Asher Rosenfeld,747234,,Tier S,2.0,40.0966,-111.5707,c788b35c-08b0-415c-af01-8cfb0f7854a1,,,,,,,,,,,,,,,,,
001cv00000bBWyY,City of Salt Lake City,Utah,Municipality,Asher Rosenfeld,217783,,Tier S,2.0,40.7606,-111.8881,f2c892db-918f-4e16-9a8e-234217b4b976,,,,,,,,,,,,,,,,,
001cv00000bBX0o,Davis County,Utah,County,Asher Rosenfeld,378470,,Tier S,2.0,40.9629,-112.0953,77b0ff45-c9b3-4d09-8b2c-a0df9236403a,,,,,,,,,,,,,,,,,
