Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Ali Cohen,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Outreach ID
001cv00000bBWIm,City of Sun Valley,Idaho,Municipality,Catherine Silvestri,1771,Open Opportunity,Tier 3,0.75,43.6971,-114.3517,2e8e1d0f-62e8-4b97-a6d2-4fb161ab4326,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,6/15/2026,5/4/2026,,,6,2026-05-06,6,,,,,21750
001cv00000bBWJt,City of Priest River,Idaho,Municipality,Ryan Minter,1847,,Tier 3,0.75,48.1807,-116.9094,67871f90-bf37-4b0f-9724-7bda67430875,,,,,,,,,,,,,,,,21811
001cv00000bBWK3,City of Aberdeen,Idaho,Municipality,Ryan Minter,1856,,Tier 3,0.75,42.9441,-112.8383,4ecdbccf-6311-46c6-85b2-9f3dc6f0b533,,,,,,,,,,,,,,,,21867
001cv00000bBWNi,City of New Plymouth,Idaho,Municipality,Ryan Minter,1608,,Tier 3,0.75,43.9699,-116.819,ac458519-759d-4c7a-b771-4349ad9e905c,,,,,,,,,,,,,,,,22057
001cv00000bBWPb,City of Wilder,Idaho,Municipality,Ryan Minter,1725,,Tier 3,0.75,43.6765,-116.9118,fdcc8b3c-0bb5-4743-8469-3bd505d83fa0,,,,,,,,,,,,,,,,22184
001cv00000bBWSH,City of Nampa,Idaho,Municipality,Ryan Minter,117350,,Tier S,2.0,43.5788,-116.5598,380d898c-d13f-48c5-854b-8f3a6b1642f4,,,,,,,,,,,,,,,,22309
001cv00000bBWSt,Bonneville County,Idaho,County,Ryan Minter,133644,,Tier S,2.0,43.4509,-111.5455,86ea01c3-9840-4add-8f41-532be0d6c4ce,,,,,,,,,,,,,,,,22359
001cv00000bBWT9,City of Meridian,Idaho,Municipality,Ryan Minter,139740,,Tier S,2.0,43.6121,-116.3915,047e1a07-4698-4642-a05b-36b0bdb8275a,,,,,,,,,,,,,,,,22364
001cv00000bBWXq,Ada County,Idaho,County,Ryan Minter,535799,,Tier S,2.0,43.4788,-116.242,f2c5aeb3-f816-4e93-b004-c0f945e628ef,,,,,,,,,,,,,,,,22435
001cv00000bBWyq,City of Boise,Idaho,Municipality,Ryan Minter,237963,,Tier S,2.0,43.615,-116.2023,5adf4d82-559b-4df1-903d-3914ea38efa9,,,,,,,,,,,,,,,,22765
